school name,location,state,rating,state test proficiency,population,graduation rate,standardized test performance,upperclassmen taking ACT or SAT,AP class enrollment rate,AP test pass rate,white student percentage,black student percentage,hispanic student percentage,asian pacific student percentage,native american indian student percentage,hawaiian pacific islander student percentage,two or more races student percentage
"
Princeton High School
",PRINCETON,NJ,#1,60%,"
1,519
",99% or more*,60%,1302,8th,95%,60.4%,5.4%,8.4%,21.3%,0.2%,0%,4.2%
"
Millburn High School
",MILLBURN,NJ,#2,58%,"
1,472
",98%,58%,1322,17th,100%,71.7%,2%,2.9%,22.8%,0.1%,0.1%,0.3%
"
Ridge High School
",BASKING RIDGE,NJ,#3,68%,"
1,900
",98%,68%,1283,57th,98%,73.5%,0.7%,4%,20.2%,0%,0%,1.5%
"
Los Alamos High
",LOS ALAMOS,NM,#1,52%,"
1,071
",88%,52%,64%,31%,84%,63.3%,0.7%,27.5%,6.3%,1.3%,0.4%,0.6%
"
La Cueva High
",ALBUQUERQUE,NM,#2,54%,"
1,834
",81%,54%,64%,39%,74%,48.6%,1.5%,35.2%,8.8%,1.8%,0.2%,3.8%
"
V Sue Cleveland High
",RIO RANCHO,NM,#3,36%,"
2,394
",86%,36%,50%,40%,49%,40.1%,3.3%,48%,1.7%,3.9%,0.2%,2.7%
"
Pittsford Sutherland High School
",PITTSFORD,NY,#1,99%,"
967
",99% or more*,99%,78%,46%,91%,80.6%,4.1%,3.9%,9.2%,0%,0%,2.2%
"
Byram Hills High School
",ARMONK,NY,#2,99%,"
870
",99% or more*,99%,62%,40%,93%,91.6%,0.6%,2.6%,5.2%,0%,0%,0%
"
Pittsford-mendon High School
",PITTSFORD,NY,#3,99%,"
1,013
",98%,99%,70%,48%,91%,78.8%,3.2%,5.2%,10.6%,0.1%,0%,2.2%
"
Providence High
",Charlotte,NC,#1,88%,"
1,991
",98%,88%,24.5,59th,88%,72.5%,8.6%,5.5%,9.8%,0.3%,0.1%,3.2%
"
Marvin Ridge High
",Waxhaw,NC,#2,84%,"
1,573
",99% or more*,84%,24,42nd,81%,84.3%,5%,3%,5.5%,0.1%,0%,2.2%
"
Green Hope High
",Cary,NC,#3,80%,"
2,380
",98%,80%,23.5,74th,90%,63.3%,6%,5.1%,21.9%,0.2%,0.2%,3.3%
"
Fargo Davies High School
",Fargo,ND,#1,65%,"
1,204
",95%,65%,44%,25%,76%,82.5%,10.5%,1.4%,4%,0.7%,0.1%,0.8%
"
Century High School
",Bismarck,ND,#2,58%,"
1,424
",96%,58%,46%,16%,92%,92.1%,1.5%,2%,1.1%,2.2%,0.1%,1%
"
Central High School
",Grand Forks,ND,#3,62%,"
949
",93%,62%,55%,11%,81%,82.4%,4.8%,3.7%,1.1%,7.1%,0.8%,0.1%
"
Granville High School
",Granville,OH,#1,96%,"
841
",97%,96%,26,28th,102%,95.5%,1.1%,1.3%,1.3%,0%,0%,0.8%
"
Solon High School
",Solon,OH,#2,98%,"
1,697
",98%,98%,26,80th,92%,64.8%,16.3%,1.6%,14.3%,0%,0.1%,3%
"
Rocky River High School
",Rocky River,OH,#3,99%,"
854
",99% or more*,99%,25,70th,102%,91.2%,1.1%,3.7%,1.9%,0.4%,0%,1.8%
"
Harding Charter Preparatory High School
",Oklahoma City,OK,#1,95%,"
482
",95% or more*,95%,98%,68%,75%,38.2%,31.1%,21.6%,6.2%,2.3%,0%,0.6%
"
North High School
",Edmond,OK,#2,93%,"
2,586
",95%,93%,94%,38%,71%,75.2%,5.4%,7.2%,3.7%,2.7%,0.1%,5.6%
"
Deer Creek High School
",Edmond,OK,#3,90%,"
1,354
",97%,90%,142%,30%,63%,79%,4.9%,5.8%,4.9%,3.6%,0.1%,1.7%
"
West Linn High School
",West Linn,OR,#1,73%,"
1,647
",97%,73%,53%,37%,74%,81.2%,0.4%,6.2%,5%,0.4%,0.1%,6.7%
"
South Eugene High School
",Eugene,OR,#2,82%,"
1,435
",91%,82%,60%,14%,93%,72.7%,2.4%,8.4%,5.8%,0.6%,0.1%,10.1%
"
Lakeridge High School
",Lake Oswego,OR,#3,78%,"
1,132
",92%,78%,26%,28%,85%,80.4%,1.3%,5.3%,5.9%,0.5%,0.6%,5.9%
"
Wissahickon SHS
",Ambler,PA,#1,96%,"
1,386
",99% or more*,96%,1145,6th,87%,65%,12.1%,4.5%,13.3%,0%,0.1%,5%
"
Hampton High School
",Allison Park,PA,#2,94%,"
1,077
",99% or more*,94%,1121,92nd,102%,95.5%,0.8%,0.5%,2%,0.2%,0%,0.9%
"
Mt Lebanon SHS
",Pittsburgh,PA,#3,94%,"
1,693
",99% or more*,94%,1151,20th,89%,89.2%,2%,2.5%,5.2%,0.1%,0.1%,0.9%
"
Barrington High School
",Barrington,RI,#1,62%,"
1,055
",96%,62%,68%,30%,89%,90%,0.8%,2.2%,4.8%,0.6%,0%,1.6%
"
Classical High School
",Providence,RI,#2,72%,"
1,118
",97%,72%,75%,51%,42%,25.3%,16.7%,45.6%,8.6%,0.3%,0.1%,3.4%
"
Portsmouth High School
",Portsmouth,RI,#3,44%,"
919
",97%,44%,41%,N/A,74%,92.1%,2%,2.6%,1.4%,0.3%,0.2%,1.4%
"
Academic Magnet High
",North Charleston,SC,#1,95%,"
644
",95% or more*,95%,29.5,15th,97%,84.5%,2.3%,3.3%,7.1%,0.5%,0.3%,2%
"
Chapin High
",Chapin,SC,#2,98%,"
1,154
",95%,98%,22,7th,54%,89.7%,4.3%,2.5%,0.6%,0.4%,0.2%,2.3%
"
Lexington High
",Lexington,SC,#3,96%,"
1,729
",93%,96%,21.7,13th,80%,81.1%,7.5%,4.9%,2.4%,0.3%,0.1%,3.6%
"
Brandon Valley High School - 01
",Brandon,SD,#1,68%,"
991
",96%,68%,57%,8%,91%,93.4%,2.3%,1.5%,1.4%,0.3%,0.5%,0.5%
"
West Central High School - 01
",Hartford,SD,#2,57%,"
368
",95% or more*,57%,93%,15%,61%,95.9%,1.1%,0.5%,0.3%,0.5%,0%,1.6%
"
Stevens High School - 42
",Rapid City,SD,#3,64%,"
1,557
",88%,64%,64%,14%,86%,85.2%,0.7%,4.4%,1.1%,5.8%,0%,2.7%
"
Hume - Fogg High
",Nashville,TN,#1,3rd,"
915
",2nd,3rd,83%,63%,74%,63.1%,21.4%,6.2%,8.6%,0.2%,0%,0.4%
"
Ravenwood High School
",Brentwood,TN,#2,4th,"
2,025
",18th,4th,86%,33%,87%,78.7%,4.9%,4.5%,7.7%,0.1%,0.1%,4%
"
Franklin High School
",Franklin,TN,#3,10th,"
1,747
",9th,10th,85%,30%,86%,85.2%,2.5%,6.3%,1.9%,0.2%,0%,3.9%
"
Debakey High School For Health Prof
",HOUSTON,TX,#1,1269,"
844
",97%,1269,28th,31st,15%,10%,16.7%,27.6%,43.6%,0.2%,0.8%,1.1%
"
Carnegie Vanguard High School
",HOUSTON,TX,#2,1320,"
613
",94%,1320,63rd,18th,15%,39.3%,10.6%,27.9%,18.9%,0.3%,0%,2.9%
"
Perfor & Vis Arts High School
",HOUSTON,TX,#3,1132,"
724
",97%,1132,21st,35th,15%,47%,17.4%,23.9%,9.4%,0.1%,0%,2.2%
"
Davis High
",KAYSVILLE,UT,#1,56%,"
2,487
",97%,56%,142%,33%,66%,92.8%,0.7%,3.6%,1.2%,0.2%,0.6%,0.9%
"
Viewmont High
",BOUNTIFUL,UT,#2,59%,"
1,808
",96%,59%,143%,32%,66%,91.2%,0.6%,4%,1.4%,0.3%,1.1%,1.4%
"
No Ut Academy For Math Engineering & Science (nuames)
",LAYTON,UT,#3,70%,"
656
",95% or more*,70%,136%,27%,66%,83.5%,0.6%,9.9%,2.1%,0.5%,0.9%,2.4%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"
BFA High School - Fairfax
",Fairfax,VT,#2,54%,"
334
",95% or more*,54%,77%,17%,50%,94.3%,0.3%,0.6%,1.8%,1.5%,0%,1.5%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"
Cosby High
",Midlothian,VA,#1,94%,"
2,028
",99% or more*,94%,65%,35%,76%,74.5%,13.6%,4.7%,4%,0.1%,0.1%,3.1%
"
Yorktown High
",Arlington,VA,#2,93%,"
1,933
",94%,93%,100%,49%,74%,66.2%,4.6%,16.1%,7.8%,0.4%,0.1%,4.9%
"
Hickory High
",Chesapeake,VA,#3,94%,"
1,766
",96%,94%,59%,31%,70%,81.3%,5%,6.1%,2.3%,0.3%,0.2%,4.7%
"
Newport Senior High School
",Bellevue,WA,#1,87%,"
1,730
",95%,87%,1200,5th,84%,41%,2.1%,4.9%,43.2%,0.2%,0.2%,8.4%
"
Woodinville High School
",Woodinville,WA,#2,72%,"
1,445
",96%,72%,1138,32nd,54%,77.4%,1.6%,8.4%,6.7%,0%,0.3%,5.6%
"
Mercer Island High School
",Mercer Island,WA,#3,83%,"
1,416
",94%,83%,1244,13th,80%,70.8%,1.7%,3.8%,20.6%,0.4%,0.1%,2.5%
"
Washington High School
",CHARLES TOWN,WV,#1,50%,"
1,180
",95%,50%,28%,N/A,70%,81.7%,6.9%,6.8%,1.1%,0.1%,0.1%,3.4%
"
Bridgeport High School
",BRIDGEPORT,WV,#2,54%,"
724
",95% or more*,54%,15%,N/A,72%,93.4%,2.3%,0.8%,2.8%,0.4%,0%,0.3%
"
Wheeling Park High School
",WHEELING,WV,#3,44%,"
1,549
",95%,44%,14%,N/A,99%,87.8%,7.5%,0.6%,1.2%,0.4%,0.1%,2.3%
"
Cedarburg High
",Cedarburg,WI,#1,74%,"
1,162
",99% or more*,74%,24.7,11th,89%,92.1%,0.9%,2.7%,2.2%,0.1%,0%,2.1%
"
Homestead High
",Mequon,WI,#2,70%,"
1,279
",98%,70%,24.6,8th,90%,80.8%,6.7%,3.8%,6.6%,0.1%,0.1%,1.9%
"
Central High
",Brookfield,WI,#3,70%,"
1,324
",98%,70%,24.2,23rd,85%,77%,4.3%,4.8%,11.5%,0%,0%,2.3%
"
Pinedale High School
",Pinedale,WY,#1,54%,"
273
",90% to 94%*,54%,22.9,7th,69%,88.6%,0.4%,8.4%,1.1%,1.1%,0%,0.4%
"
Jackson Hole High School
",Jackson,WY,#2,50%,"
604
",95% or more*,50%,21.8,-9th,50%,70.2%,0.2%,26.2%,1%,0.3%,0%,2.2%
"
Sheridan High School
 ",Sheridan,WY,#3,50%,"
971
",87%,50%,21.5,6th,70%,90.1%,0.7%,4.6%,0.5%,1.4%,0.2%,2.4%
